Enter TRACE:MAIN: rcv event, t=0.947, at 3 src: 0, dest: 3, contents:   0   1   3   7
MAIN: rcv event, t=0.992, at 0 src: 1, dest: 0, contents:   1   0   1 999
MAIN: rcv event, t=1.209, at 3 src: 2, dest: 3, contents:   3   1   0   2
MAIN: rcv event, t=1.276, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=1.642, at 2 src: 0, dest: 2, contents:   0   1   3   7
MAIN: rcv event, t=1.871, at 1 src: 0, dest: 1, contents:   0   1   3   7
MAIN: rcv event, t=2.166, at 2 src: 1, dest: 2, contents:   1   0   1 999
MAIN: rcv event, t=2.407, at 0 src: 2, dest: 0, contents:   3   1   0   2
MAIN: rcv event, t=2.421, at 2 src: 3, dest: 2, contents:   7 999   3   0
MAIN: rcv event, t=2.591, at 3 src: 2, dest: 3, contents:   0   1   0   2
MAIN: rcv event, t=2.811, at 1 src: 2, dest: 1, contents:   3   1   0   2
MAIN: rcv event, t=3.293, at 2 src: 3, dest: 2, contents:   7 999   3   0
MAIN: rcv event, t=4.063, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=4.104, at 0 src: 3, dest: 0, contents:   7 999   3   0
MAIN: rcv event, t=4.169, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=4.330, at 0 src: 3, dest: 0, contents:   7 999   3   0
MAIN: rcv event, t=4.373, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=4.643, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=5.054, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=5.213, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=5.606, at 2 src: 1, dest: 2, contents:   1   0   1 999
MAIN: rcv event, t=6.071, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=6.071, at 0 src: 2, dest: 0, contents:   0   1   0   2
MAIN: rcv event, t=6.178, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=6.516, at 1 src: 2, dest: 1, contents:   0   1   0   2
MAIN: rcv event, t=6.540, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=6.735, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=7.084, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=7.249, at 0 src: 1, dest: 0, contents:   1   0   1 999
MAIN: rcv event, t=7.263, at 2 src: 3, dest: 2, contents:   3 999   3   0
MAIN: rcv event, t=7.634, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=7.812, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=7.960, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=8.018, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=8.264, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=8.429, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=8.438, at 0 src: 3, dest: 0, contents:   3 999   3   0
MAIN: rcv event, t=8.554, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=8.761, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=8.875, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=9.292, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=9.933, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=10.376, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=10.402, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=11.008, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=11.104, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=11.122, at 3 src: 0, dest: 3, contents:   3   1   3   7
MAIN: rcv event, t=11.247, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=11.296, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=11.351, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=11.593, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=12.068, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=12.199, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=12.212, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=12.280, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=12.428, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=13.025, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=13.193, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=13.430, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=13.447, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=14.030, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=14.295, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=14.887, at 1 src: 0, dest: 1, contents:   3   1   3   7
MAIN: rcv event, t=15.048, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=15.059, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=15.114, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=15.281, at 3 src: 2, dest: 3, contents:   1   1   0   2
